Year,Car_Name,Km_Driven,Fuel_Type,Transmission,Location,Price
2019,Volkswagen Ameo COMFORTLINE 1.0L,"34,651 km",Petrol,Manual,Seawood,572000
2014,Maruti Swift Dzire ZDI,"11,144 km",Diesel,Manual,"Goregaon, Mumbai",613000
2019,Maruti Swift VXI,"13,167 km",Petrol,Manual,"Goregaon, Mumbai",567000
2016,Hyundai Creta SX PLUS AT 1.6 PETROL,"83,626 km",Petrol,Automatic,"Goregaon, Mumbai",853999
2020,Tata Tiago XZA PLUS PETROL,"6,375 km",Petrol,Automatic,"Goregaon, Mumbai",608000
2018,Honda WR-V 1.2L I-VTEC VX MT,"59,897 km",Petrol,Manual,"Goregaon, Mumbai",711000
2016,Honda City 1.5L I-VTEC VX CVT,"67,149 km",Petrol,Automatic,"Goregaon, Mumbai",681000
2018,Ford FREESTYLE TREND 1.5 DIESEL,"46,080 km",Diesel,Manual,"Goregaon, Mumbai",511000
2019,Maruti S PRESSO VXI+,"51,291 km",Petrol,Manual,"Goregaon, Mumbai",390000
2019,Hyundai NEW SANTRO SPORTZ CNG,"73,743 km",CNG,Manual,"Goregaon, Mumbai",476999
2020,Volkswagen Polo HIGHLINE 1.0L,"42,608 km",Petrol,Manual,"Goregaon, Mumbai",635000
2018,Hyundai Verna 1.6 VTVT SX,"24,675 km",Petrol,Manual,"Goregaon, Mumbai",721000
2016,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"59,893 km",Petrol,Manual,Seawood,372000
2019,Honda City 1.5L I-VTEC VX CVT,"54,705 km",Petrol,Automatic,"Goregaon, Mumbai",958000
2019,Hyundai VENUE SX PLUS 1.0 TURBO DCT,"43,419 km",Petrol,Automatic,"Goregaon, Mumbai",918000
2016,Maruti Baleno DELTA PETROL 1.2,"43,273 km",Petrol,Manual,Seawood,505000
2015,Hyundai Verna FLUIDIC 4S 1.6 VTVT S,"38,877 km",Petrol,Manual,"Goregaon, Mumbai",516000
2019,Hyundai Elite i20 ASTA 1.2 (O),"40,998 km",Petrol,Manual,"Goregaon, Mumbai",577000
2016,Honda Amaze 1.2L I-VTEC S,"93,900 km",Petrol,Manual,"Goregaon, Mumbai",342000
2018,Toyota YARIS VX MT,"30,509 km",Petrol,Manual,"Goregaon, Mumbai",783000
